,date
1,2007-09-05
2,2008-01-09
3,2008-01-21
4,2008-01-23
5,2008-01-29
6,2008-01-30
7,2008-01-31
8,2008-02-01
9,2008-02-03
10,2008-04-01
11,2008-04-02
12,2008-04-16
13,2008-04-17
14,2008-07-09
15,2008-07-23
16,2008-08-22
17,2008-09-08
18,2008-09-21
19,2008-09-27
20,2008-09-29
21,2008-10-01
22,2008-10-02
23,2008-10-03
24,2008-10-04
25,2008-10-05
26,2008-10-06
27,2008-10-07
28,2008-10-08
29,2008-10-09
30,2008-10-10
31,2008-10-11
32,2008-10-12
33,2008-10-13
34,2008-10-14
35,2008-10-15
36,2008-10-16
37,2008-10-17
38,2008-10-18
39,2008-10-19
40,2008-10-20
41,2008-10-21
42,2008-10-22
43,2008-10-23
44,2008-10-24
45,2008-10-25
46,2008-10-26
47,2008-10-27
48,2008-10-28
49,2008-10-29
50,2008-10-30
51,2008-10-31
52,2008-11-01
53,2008-11-02
54,2008-11-03
55,2008-11-04
56,2008-11-05
57,2008-11-06
58,2008-11-07
59,2008-11-08
60,2008-11-09
61,2008-11-10
62,2008-11-11
63,2008-11-12
64,2008-11-13
65,2008-11-14
66,2008-11-15
67,2008-11-16
68,2008-11-17
69,2008-11-18
70,2008-11-19
71,2008-11-20
72,2008-11-21
73,2008-11-22
74,2008-11-23
75,2008-11-24
76,2008-11-25
77,2008-11-26
78,2008-11-27
79,2008-11-28
80,2008-11-29
81,2008-11-30
82,2008-12-01
83,2008-12-02
84,2008-12-03
85,2008-12-04
86,2008-12-05
87,2008-12-06
88,2008-12-07
89,2008-12-08
90,2008-12-09
91,2008-12-10
92,2008-12-11
93,2008-12-12
94,2008-12-13
95,2008-12-14
96,2008-12-15
97,2008-12-16
98,2008-12-17
99,2008-12-18
100,2008-12-19
101,2008-12-20
102,2008-12-21
103,2008-12-22
104,2008-12-23
105,2008-12-24
106,2008-12-26
107,2008-12-27
108,2008-12-28
109,2008-12-29
110,2008-12-30
111,2008-12-31
112,2009-01-01
113,2009-01-02
114,2009-01-03
115,2009-01-04
116,2009-01-05
117,2009-01-06
118,2009-01-07
119,2009-01-08
120,2009-01-09
121,2009-01-10
122,2009-01-11
123,2009-01-12
124,2009-01-13
125,2009-01-14
126,2009-01-15
127,2009-01-16
128,2009-01-17
129,2009-01-18
130,2009-01-19
131,2009-01-20
132,2009-01-21
133,2009-01-22
134,2009-01-23
135,2009-01-24
136,2009-01-25
137,2009-01-26
138,2009-01-27
139,2009-01-28
140,2009-01-29
141,2009-01-30
142,2009-01-31
143,2009-02-01
144,2009-02-02
145,2009-02-03
146,2009-02-04
147,2009-02-05
148,2009-02-06
149,2009-02-07
150,2009-02-08
151,2009-02-09
152,2009-02-10
153,2009-02-11
154,2009-02-12
155,2009-02-13
156,2009-02-14
157,2009-02-15
158,2009-02-16
159,2009-02-17
160,2009-02-18
161,2009-02-19
162,2009-02-20
163,2009-02-21
164,2009-02-22
165,2009-02-23
166,2009-02-24
167,2009-02-25
168,2009-02-26
169,2009-02-27
170,2009-02-28
171,2009-03-01
172,2009-03-02
173,2009-03-03
174,2009-03-04
175,2009-03-05
176,2009-03-06
177,2009-03-07
178,2009-03-08
179,2009-03-09
180,2009-03-10
181,2009-03-11
182,2009-03-12
183,2009-03-13
184,2009-03-14
185,2009-03-15
186,2009-03-16
187,2009-03-17
188,2009-03-18
189,2009-03-19
190,2009-03-20
191,2009-03-21
192,2009-03-22
193,2009-03-23
194,2009-03-24
195,2009-03-25
196,2009-03-26
197,2009-03-27
198,2009-03-28
199,2009-03-29
200,2009-03-30
201,2009-03-31
202,2009-04-01
203,2009-04-02
204,2009-04-03
205,2009-04-04
206,2009-04-05
207,2009-04-06
208,2009-04-07
209,2009-04-08
210,2009-04-09
211,2009-04-10
212,2009-04-11
213,2009-04-12
214,2009-04-13
215,2009-04-14
216,2009-04-15
217,2009-04-16
218,2009-04-17
219,2009-04-18
220,2009-04-19
221,2009-04-20
222,2009-04-21
223,2009-04-22
224,2009-04-23
225,2009-04-24
226,2009-04-25
227,2009-04-26
228,2009-04-27
229,2009-04-28
230,2009-04-29
231,2009-04-30
232,2009-05-01
233,2009-05-02
234,2009-05-03
235,2009-05-04
236,2009-05-05
237,2009-05-06
238,2009-05-07
239,2009-05-08
240,2009-05-09
241,2009-05-10
242,2009-05-11
243,2009-05-12
244,2009-05-13
245,2009-05-14
246,2009-05-15
247,2009-05-16
248,2009-05-17
249,2009-05-18
250,2009-05-19
251,2009-05-20
252,2009-05-21
253,2009-05-22
254,2009-05-23
255,2009-05-24
256,2009-05-25
257,2009-05-26
258,2009-05-27
259,2009-05-28
260,2009-05-29
261,2009-05-30
262,2009-05-31
263,2009-06-01
264,2009-06-02
265,2009-06-03
266,2009-06-04
267,2009-06-05
268,2009-06-06
269,2009-06-07
270,2009-06-08
271,2009-06-09
272,2009-06-10
273,2009-06-11
274,2009-06-12
275,2009-06-13
276,2009-06-14
277,2009-06-15
278,2009-06-16
279,2009-06-17
280,2009-06-18
281,2009-06-19
282,2009-06-20
283,2009-06-21
284,2009-06-22
285,2009-06-23
286,2009-06-24
287,2009-06-25
288,2009-07-05
289,2009-07-11
